number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning ,Group 2 No.winning ,Group 3 No.winning ,Group 4 No.winning ,Group 5 No.winning ,Group 6 No.winning ,Group 7 No.winning 
3639,01/03/2021,5,6,7,13,25,37,30,-,"$45,230","$1,372",$280,$50,$25,$10,-,6,136,364,"8,458","9,917","139,177"
3640,04/03/2021,11,12,20,28,30,38,27,-,-,"$1,210",$331,$50,$25,$10,-,-,207,413,"9,967","12,067","163,444"
3641,08/03/2021,8,13,17,27,33,40,38,"$2,107,832","$211,977","$1,534",$306,$50,$25,$10,3,5,312,855,"16,812","22,050","293,700"
3642,11/03/2021,12,19,26,41,46,47,35,"$1,291,606","$135,959","$1,870",$405,$50,$25,$10,1,2,100,252,"5,237","6,930","94,102"
3643,15/03/2021,12,15,19,28,35,43,44,"$1,291,532","$271,902","$1,815",$484,$50,$25,$10,1,1,103,211,"5,687","6,243","105,907"
3644,18/03/2021,2,5,12,24,25,29,3,"$1,199,310","$31,561",$712,$150,$50,$25,$10,1,8,244,633,"9,360","13,762","129,262"
3645,22/03/2021,2,12,20,35,37,44,17,-,"$135,353","$2,387",$403,$50,$25,$10,-,2,78,252,"4,894","7,268","95,932"
3646,25/03/2021,4,16,17,20,22,44,38,-,"$333,012","$1,660",$387,$50,$25,$10,-,1,138,323,"7,212","8,182","129,257"
3647,29/03/2021,14,15,20,23,30,35,39,-,"$199,827","$1,739",$444,$50,$25,$10,-,3,237,507,"12,758","15,097","227,505"
3648,01/04/2021,10,11,15,21,29,44,26,"$3,682,728","$224,548","$1,379",$331,$50,$25,$10,3,5,560,"1,273","26,255","33,793","465,680"
3649,05/04/2021,9,11,15,17,25,40,5,-,"$64,940","$1,191",$161,$50,$25,$10,-,4,150,605,"7,236","15,737","118,687"
3650,08/04/2021,7,8,9,14,28,35,4,"$2,934,881","$59,686",$962,$180,$50,$25,$10,1,6,256,750,"11,766","20,177","187,054"
3651,12/04/2021,4,23,27,43,48,49,47,-,"$90,087","$2,478",$483,$50,$25,$10,-,3,75,210,"4,990","7,119","91,706"
3652,15/04/2021,10,14,23,25,35,46,39,-,"$167,339","$1,730",$436,$50,$25,$10,-,2,133,288,"6,477","7,874","120,248"
3653,19/04/2021,8,10,16,17,20,43,32,-,"$288,024","$1,860",$386,$50,$25,$10,-,2,213,560,"13,324","15,124","244,782"
3654,22/04/2021,3,17,22,32,38,48,41,"$5,341,373","$133,503","$1,593",$427,$50,$25,$10,2,8,461,939,"21,515","26,588","398,255"
3655,26/04/2021,2,15,18,36,42,49,26,"$1,177,379","$82,624","$1,915",$302,$50,$25,$10,1,3,89,308,"4,286","7,435","85,808"
3656,29/04/2021,2,19,22,29,36,43,5,-,"$121,923","$1,863",$324,$50,$25,$10,-,2,90,283,"4,917","8,516","88,952"
3657,03/05/2021,15,17,18,35,41,42,3,"$2,819,520","$174,869","$1,636",$417,$50,$25,$10,1,2,147,315,"6,456","9,802","118,879"
3658,06/05/2021,4,6,12,20,31,35,47,"$226,083",-,"$1,121",$478,$50,$25,$10,5,-,146,187,"6,567","5,847","115,382"
3659,10/05/2021,6,18,32,33,34,45,8,"$1,202,447","$491,129","$2,321",$383,$50,$25,$10,1,1,75,248,"4,394","7,371","84,696"
3660,13/05/2021,2,4,5,16,39,47,24,-,"$118,801","$2,179",$419,$50,$25,$10,-,2,75,213,"4,953","7,431","100,122"
3661,17/05/2021,5,6,11,36,41,46,8,-,"$304,206","$1,885",$259,$50,$25,$10,-,1,111,442,"6,522","12,817","125,477"
3662,20/05/2021,7,12,18,29,32,37,44,-,"$117,740","$1,440",$352,$50,$25,$10,-,4,225,502,"10,451","12,585","190,076"
3663,24/05/2021,11,18,23,31,32,33,49,"$3,166,852","$141,051","$1,415",$414,$50,$25,$10,3,7,480,896,"23,569","24,872","395,292"
3664,27/05/2021,3,7,9,24,36,38,43,"$1,063,033","$111,899","$1,438",$385,$50,$25,$10,1,2,107,218,"6,448","5,889","109,428"
3665,31/05/2021,14,15,18,19,30,44,6,"$1,146,790","$241,430","$2,214",$354,$50,$25,$10,1,1,75,256,"4,350","7,730","84,803"
3666,03/06/2021,1,7,21,26,30,39,40,"$1,104,725","$116,287","$1,860",$348,$50,$25,$10,1,2,86,251,"5,127","7,224","97,246"
3667,07/06/2021,7,14,23,31,39,41,33,-,"$249,782","$1,735",$396,$50,$25,$10,-,1,99,237,"5,357","6,739","93,856"
3668,10/06/2021,1,9,15,22,24,42,10,"$2,719,974","$46,121","$1,633",$192,$50,$25,$10,1,7,136,631,"8,314","14,862","136,477"
3669,14/06/2021,5,16,23,24,28,45,40,-,"$247,721","$1,981",$577,$50,$25,$10,-,1,86,161,"5,436","5,839","103,081"
3670,17/06/2021,5,12,15,30,38,43,33,-,"$432,116","$1,857",$300,$50,$25,$10,-,7,119,403,"7,188","9,153","134,824"
3671,21/06/2021,7,8,10,14,17,28,45,-,"$42,353",$665,$315,$50,$25,$10,-,6,263,303,"10,547","7,485","147,967"
3672,24/06/2021,1,12,17,21,24,44,23,-,"$624,113","$1,422",$318,$50,$25,$10,-,5,161,393,"8,452","10,587","145,992"
3673,28/06/2021,14,31,32,33,38,47,45,-,"$128,793","$2,187",$481,$50,$25,$10,-,2,81,201,"4,382","5,565","81,464"
3674,01/07/2021,4,5,9,17,31,34,8,"$2,852,539","$48,993","$1,456",$225,$50,$25,$10,1,7,162,573,"8,392","17,221","149,274"
3675,05/07/2021,8,14,20,28,29,36,18,-,"$51,159","$1,430",$268,$50,$25,$10,-,5,123,359,"6,088","9,515","105,165"
3676,08/07/2021,7,9,15,20,23,40,2,"$2,841,196","$42,795","$1,189",$175,$50,$25,$10,1,8,198,737,"10,404","16,261","171,425"
3677,12/07/2021,18,19,23,24,38,45,27,-,"$64,547","$2,306",$477,$50,$25,$10,-,4,77,203,"4,735","6,380","91,193"
3678,15/07/2021,3,5,9,14,23,26,20,-,"$795,711",$810,$194,$50,$25,$10,-,4,289,658,"12,696","15,089","187,995"
